No.,Object Name,RA,DEC,Type,Velocity,Redshift,Redshift Flag,Magnitude and Filter,Separation,References,Notes,Photometry Points,Positions,Redshift Points,Diameter Points,Associations
2585,SMACS J0723:[NDA2023] 00908.1,110.84609,-73.44294,VisS,410776.0,1.3702,S1L,,0.231,1,0,0,1,1,0,0
2586,[LZD2022] PC 4,110.84615,-73.43547,G,2158506.0,7.2,PSE,,0.241,1,0,0,1,1,0,0
2587,SMACS J0723-7327:[ICR2022] 103,110.8463,-73.46423,IrS,104927.0,0.35,PSE,,1.498,1,0,0,1,1,0,0
2588,[CLL2024] F150DB-050 A,110.84635,-73.44744,G_Lens,3477593.0,11.6,PLE,,0.494,1,0,0,1,1,0,0
2589,SMACS J0723:[NDA2023] 01006,110.84655,-73.43376,G,638138.0,2.1286,SLS,,0.339,1,0,0,1,1,0,0
2590,SMACS J0723-7327:[ICR2022] 341,110.84658,-73.44799,IrS,314782.0,1.05,PSE,,0.526,1,0,0,1,1,0,0
2594,SMACS J0723-7327:[ICR2022] 393,110.84689,-73.44298,IrS,408257.0,1.3618,S1L,,0.229,2,0,0,2,2,0,0
2596,SMACS J0723-7327:[ICR2022] 339,110.8469,-73.44829,IrS,794450.0,2.65,PSE,,0.543,1,0,0,1,1,0,0
2597,SMACS J0723:[NDA2023] 00908.2,110.84704,-73.44297,VisS,402381.0,1.3422,S1L,,0.228,1,0,0,1,1,0,0
2598,SMACS J0723-7327:[ICR2022] 028,110.84718,-73.47038,IrS,585765.0,1.9539,S1L,,1.866,2,0,0,2,2,0,0
2599,SMACS J0723-7327:[ICR2022] 192,110.84727,-73.45869,IrS,314782.0,1.05,PSE,,1.165,1,0,0,1,2,0,0
2600,SMACS J0723:[NDA2023] 00908.3,110.84735,-73.44297,VisS,411615.0,1.373,S1L,,0.227,1,0,0,1,1,0,0
2601,[LZD2022] PC 5,110.84741,-73.43513,G,2455301.0,8.19,PSE,,0.256,1,0,0,1,1,0,0
2603,SMACS J0723-7327:[ICR2022] 051,110.84766,-73.46619,IrS,194865.0,0.65,PSE,,1.614,1,0,0,1,1,0,0
2606,SMACS J0723-7327:[CSM2022] 02,110.84796,-73.4616,*,0.0,0.0,SLS,,1.339,2,0,0,2,2,0,0
2607,SMACS J0723-7327:[CSM2022] 74,110.84866,-73.46067,G,443453.0,1.4792,S1L,,1.283,2,0,0,2,2,0,0
2608,SMACS J0723-7327:[CSM2022] 20,110.84869,-73.45933,*,0.0,0.0,SLS,,1.202,1,0,0,1,1,0,0
2611,SMACS J0723-7327:[ICR2022] 122,110.84887,-73.46307,IrS,121896.0,0.4066,SLS,,1.427,2,0,0,2,2,0,0
2612,[HOO2023] F150DB-026,110.84892,-73.46128,G,3111846.0,10.38,PSE,,1.319,2,0,0,2,3,0,0
2613,SMACS J0723-7327:[CSM2022] 45,110.84892,-73.4604,G,120307.0,0.4013,SLS,,1.267,4,0,0,4,5,0,0
2614,SMACS J0723-7327:[ICR2022] 096,110.84897,-73.4648,IrS,89938.0,0.3,PSE,,1.531,1,0,0,1,1,0,0
