No.,Object Name,RA,DEC,Type,Velocity,Redshift,Redshift Flag,Magnitude and Filter,Separation,References,Notes,Photometry Points,Positions,Redshift Points,Diameter Points,Associations
2601,WISEA J115106.06-281020.1,177.77525,-28.17226,IrS,94363.0,0.31476,SUN,,6.489,1,0,12,2,1,0,0
2608,PLCK G287.0+32.9:[GDW2019] 315,177.77594,-28.16697,G,30444.0,0.101549,SUN,,6.258,1,0,0,1,1,0,0
2611,WISEA J115106.27-281045.7,177.77615,-28.17937,IrS,114542.0,0.38207,SUN,,6.865,1,0,12,2,1,0,0
2624,WISEA J115106.51-281336.0,177.77714,-28.22669,IrS,113190.0,0.377562,SUN,,9.369,1,0,12,2,1,0,0
2641,WISEA J115107.10-281053.3,177.77962,-28.18148,IrS,114550.0,0.382096,SUN,,7.074,1,0,12,2,1,0,0
2645,WISEA J115107.29-281109.9,177.7804,-28.18609,IrS,111138.0,0.370717,SUN,,7.325,1,0,12,2,1,0,0
2648,WISEA J115107.36-280644.9,177.7807,-28.11248,IrS,117061.0,0.390472,SUN,,4.434,1,0,12,2,1,0,0
2660,WISEA J115107.63-281314.5,177.78182,-28.22071,IrS,61955.0,0.20666,SUN,,9.155,1,0,12,2,1,0,0
2668,WISEA J115108.03-280048.9,177.78347,-28.01361,IrS,180829.0,0.603179,SUN,,6.038,1,0,12,2,1,0,0
2676,WISEA J115108.20-280808.2,177.78419,-28.13564,IrS,117144.0,0.390751,SUN,,5.267,1,0,12,2,1,0,0
2679,WISEA J115108.31-281151.9,177.78466,-28.19776,IrS,115436.0,0.385054,SUN,,8.034,1,0,12,2,1,0,0
2681,WISEA J115108.34-281020.2,177.78477,-28.1723,IrS,112628.0,0.375685,SUN,,6.8,1,0,12,2,1,0,0
2697,PLCK G287.0+32.9:[GDW2019] 326,177.78672,-28.21418,G,332454.0,1.108947,SUN,,8.934,1,0,0,1,1,0,0
2698,PLCK G287.0+32.9:[GDW2019] 327,177.78679,-28.11845,G,113925.0,0.380013,SUN,,4.872,1,0,0,1,1,0,0
2699,PLCK G287.0+32.9:[GDW2019] 328,177.78687,-28.0138,G,52153.0,0.173964,SUN,,6.158,1,0,0,1,1,0,0
2712,WISEA J115109.22-275958.9,177.78846,-27.99972,IrS,116841.0,0.389741,SUN,,6.826,1,0,12,2,1,0,0
2741,PLCK G287.0+32.9:[GDW2019] 330,177.79083,-28.01578,G,118302.0,0.394613,SUN,,6.232,1,0,0,1,1,0,0
2762,WISEA J115110.32-280828.9,177.79301,-28.14139,IrS,118325.0,0.394689,SUN,,5.848,1,0,12,2,1,0,0
2764,PLCK G287.0+32.9:[GDW2019] 332,177.79317,-28.15536,G,112537.0,0.375383,SUN,,6.377,1,0,0,1,1,0,0
2766,PLCK G287.0+32.9:[GDW2019] 333,177.79352,-28.14044,G,93218.0,0.310943,SUN,,5.837,1,0,0,1,1,0,0
2767,PLCK G287.0+32.9:[GDW2019] 334,177.79376,-28.21329,G,115087.0,0.38389,SUN,,9.079,1,0,0,1,1,0,0
2811,WISEA J115111.66-281052.2,177.7986,-28.18119,IrS,53952.0,0.179964,SUN,,7.68,1,0,12,2,1,0,0
2859,WISEA J115113.25-281146.1,177.80522,-28.19616,IrS,114655.0,0.382449,SUN,,8.593,1,0,12,2,1,0,0
2917,WISEA J115115.44-281449.8,177.81436,-28.24718,G,36802.0,0.122759,PUN,,11.381,1,0,33,6,1,2,0
2927,WISEA J115115.68-280056.0,177.81535,-28.01558,UvS,33837.0,0.112869,SUN,,7.259,1,0,22,4,1,0,0
3669,WISEA J115148.73-280638.7,177.95307,-28.11077,G,31712.0,0.105781,PUN,,13.328,1,0,27,4,1,2,0
