No.,Object Name,RA,DEC,Type,Velocity,Redshift,Redshift Flag,Magnitude and Filter,Separation,References,Notes,Photometry Points,Positions,Redshift Points,Diameter Points,Associations
2224,SSTSL2 J065742.26-555753.7,104.42611,-55.96493,IrS,101929.0,0.34,PUN,,6.553,1,0,8,2,1,0,0
2246,[FBC2017] J065742.5-560831.8,104.42708,-56.14217,G,71950.0,0.24,PUN,,13.12,1,0,0,1,1,0,0
2247,WISEA J065742.50-560759.3,104.4271,-56.13316,IrS,95934.0,0.32,PUN,,12.653,1,0,14,3,1,0,0
2259,SSTSL2 J065742.66-560224.9,104.42776,-56.04027,IrS,80944.0,0.27,PUN,,8.348,1,0,8,2,1,0,0
2261,[FBC2017] J065742.7-554439.7,104.42792,-55.74436,G,92936.0,0.31,PUN,,14.026,1,0,0,1,1,0,0
2275,[FBC2017] J065742.8-554628.7,104.42833,-55.77464,G,104927.0,0.35,PUN,,12.434,1,0,0,1,1,0,0
2276,WISEA J065742.80-554431.7,104.42835,-55.74214,IrS,95934.0,0.32,PUN,,14.138,1,0,12,2,1,0,0
2290,WISEA J065742.94-560205.4,104.42893,-56.03486,IrS,86940.0,0.29,PUN,,8.115,1,0,20,3,1,0,0
2335,WISEA J065743.35-560953.1,104.43063,-56.16477,IrS,86940.0,0.29,PUN,,14.262,1,0,12,2,1,0,0
2360,WISEA J065743.57-560511.6,104.43154,-56.08657,IrS,92936.0,0.31,PUN,,10.258,1,0,16,3,1,0,0
2374,[FBC2017] J065743.7-560901.7,104.43208,-56.15047,G,104927.0,0.35,PUN,,13.477,1,0,0,1,1,0,0
2387,[FBC2017] J065743.8-561022.1,104.4325,-56.17281,G,77946.0,0.26,PUN,,14.668,1,0,0,1,1,0,0
2397,WISEA J065743.87-554346.5,104.43281,-55.72959,IrS,89938.0,0.3,PUN,,14.748,1,0,12,2,1,0,0
2409,WISEA J065744.06-560817.9,104.4336,-56.13833,G,53103.0,0.177134,PUN,17.1R,12.813,7,0,51,6,2,6,0
2413,[FBC2017] J065744.1-554414.2,104.43375,-55.73728,G,95934.0,0.32,PUN,,14.318,1,0,0,1,1,0,0
2425,SSTSL2 J065744.23-560401.8,104.43433,-56.06717,IrS,110923.0,0.37,PUN,,9.306,1,0,2,2,1,0,0
2428,SSTSL2 J065744.28-555927.1,104.43453,-55.99087,IrS,90777.0,0.3028,SUN,,6.648,1,0,10,2,1,0,0
2432,WISEA J065744.20-560113.2,104.4347,-56.01989,IrS,95934.0,0.32,PUN,,7.435,1,0,22,3,1,0,0
2439,WISEA J065744.38-555559.1,104.43492,-55.93324,IrS,90178.0,0.3008,SUN,,6.312,1,0,22,3,1,0,0
2465,WISEA J065744.64-560821.2,104.43601,-56.13923,IrS,89938.0,0.3,PUN,,12.821,1,0,19,4,1,0,0
2476,SSTSL2 J065744.76-560650.8,104.43652,-56.11414,IrS,74948.0,0.25,PUN,,11.515,1,0,4,2,1,0,0
2500,WISEA J065744.95-554803.0,104.43733,-55.80083,IrS,87330.0,0.2913,SUN,,10.945,1,0,18,3,1,0,0
2501,WISEA J065744.97-560553.7,104.43738,-56.09826,IrS,98932.0,0.33,PUN,,10.705,1,0,12,2,1,0,0
2503,SSTSL2 J065744.98-560808.6,104.43745,-56.13574,IrS,92936.0,0.31,PUN,,12.614,1,0,2,2,1,0,0
2512,SSTSL2 J065745.06-555423.2,104.43777,-55.90645,IrS,86940.0,0.29,PUN,,6.698,1,0,8,2,1,0,0
2529,WISEA J065745.27-560726.9,104.43864,-56.12416,IrS,86940.0,0.29,PUN,,11.991,1,0,16,3,1,0,0
2533,WISEA J065745.30-555439.2,104.43878,-55.91091,IrS,87899.0,0.2932,SUN,,6.561,1,0,22,3,1,0,0
2540,WISEA J065745.36-555201.0,104.43901,-55.86696,IrS,98932.0,0.33,PUN,,7.931,1,0,20,3,1,0,0
2564,WISEA J065745.59-555711.7,104.43997,-55.95326,IrS,89938.0,0.3,PUN,,6.042,1,0,22,3,1,0,0
2588,SSTSL2 J065745.79-560723.0,104.44081,-56.12308,IrS,104927.0,0.35,PUN,,11.899,1,0,4,2,1,0,0
2589,[FBC2017] J065745.8-554507.1,104.44083,-55.75197,G,95934.0,0.32,PUN,,13.421,1,0,0,1,1,0,0
2601,WISEA J065745.92-561000.2,104.44137,-56.16673,IrS,89938.0,0.3,PUN,,14.212,1,0,16,3,1,0,0
2615,SSTSL2 J065746.01-555758.9,104.44172,-55.96638,IrS,95934.0,0.32,PUN,,6.045,1,0,9,2,1,0,0
2658,WISEA J065746.40-560651.9,104.44337,-56.11444,IrS,101929.0,0.34,PUN,,11.409,1,0,16,3,1,0,0
2671,SSTSL2 J065746.53-555716.7,104.44388,-55.95466,IrS,104927.0,0.35,PUN,,5.912,3,0,21,5,1,0,0
2693,SSTSL2 J065746.74-555511.5,104.44478,-55.91987,IrS,89938.0,0.3,PUN,,6.187,1,0,10,2,1,0,0
2717,SSTSL2 J065746.96-555419.7,104.44569,-55.90548,IrS,89938.0,0.3,PUN,,6.48,1,0,8,2,1,0,0
2720,WISEA J065746.98-560740.3,104.44578,-56.12787,IrS,86940.0,0.29,PUN,,12.066,1,0,14,3,1,0,0
2732,[FBC2017] J065747.1-560522.6,104.44625,-56.08961,G,74948.0,0.25,PUN,,10.11,1,0,0,1,1,0,0
2748,WISEA J065747.24-560323.5,104.44687,-56.05653,IrS,83942.0,0.28,PUN,,8.552,1,0,20,3,1,0,0
2759,WISEA J065747.36-554311.7,104.44734,-55.71992,IrS,80944.0,0.27,PUN,,15.079,1,0,12,2,1,0,0
2761,SSTSL2 J065747.37-560915.7,104.44738,-56.15438,IrS,95934.0,0.32,PUN,,13.457,1,0,2,2,1,0,0
2763,WISEA J065747.39-555639.1,104.44746,-55.94422,IrS,89188.0,0.2975,SUN,,5.808,1,0,22,3,1,0,0
2767,SSTSL2 J065747.41-560349.7,104.44758,-56.06382,IrS,92936.0,0.31,PUN,,8.862,1,0,2,2,1,0,0
2784,WISEA J065747.54-554333.8,104.44811,-55.72608,IrS,92936.0,0.31,PUN,,14.729,1,0,12,2,1,0,0
2789,SSTSL2 J065747.56-555500.8,104.44819,-55.91691,IrS,98932.0,0.33,PUN,,6.137,1,0,10,2,1,0,0
2792,SSTSL2 J065747.57-554909.0,104.44825,-55.81919,IrS,68952.0,0.23,PUN,,9.832,1,0,8,2,1,0,0
